popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, numindssub, maxrepro, overdom, numgens, parthreduction, parthpenalty, boo
5000 500 50000 100000000 0.5 0.5 24 12 300 0 1000 0.01 0.04 175
5000 500 50000 100000000 0.5 0.5 50 25 300 0 1000 0.01 0 176
5000 500 50000 100000000 0.5 0.5 50 25 300 0 1000 0.01 0.0033333333333333335 177
5000 500 50000 100000000 0.5 0.5 50 25 300 0 1000 0.01 0.006666666666666667 178
5000 500 50000 100000000 0.5 0.5 50 25 300 0 1000 0.01 0.03 179
5000 500 50000 100000000 0.5 0.5 50 25 300 0 1000 0.01 0.04 180
5000 100 50000 10000 0.5 0.5 1 1 300 0 1000 0.01 0 181
5000 100 50000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.0033333333333333335 182
5000 100 50000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.006666666666666667 183
5000 100 50000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.03 184
5000 100 50000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.04 185
5000 100 50000 10000 0.5 0.5 1 2 300 0 1000 0.01 0 186
5000 100 50000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.0033333333333333335 187
5000 100 50000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.006666666666666667 188
5000 100 50000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.03 189
5000 100 50000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.04 190
5000 100 50000 10000 0.5 0.5 2 1 300 0 1000 0.01 0 191
5000 100 50000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.0033333333333333335 192
5000 100 50000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.006666666666666667 193
5000 100 50000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.03 194
5000 100 50000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.04 195
5000 100 50000 10000 0.5 0.5 2 2 300 0 1000 0.01 0 196
5000 100 50000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.0033333333333333335 197
5000 100 50000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.006666666666666667 198
