metapopulation size: 3000
subpopulation size: 30
sexual reproduction produces 10 offspring
parthenogenetic reproduction produces 10 offspring
penalty for parthenogenetic-capable females reproducing sexually: 0
migration rate: 0
mutation rate: 0.00016666666666666666
recombination rate, interval 1: 0.5
recombination rate, interval 2: 0.5
each individual in the main population encounters 2 individuals
each individual in the subpopulation encounters 1 individuals
fitness overdominance (0=no, 1=yes): 1
maximum value of parthenogenetic allele that appeared: 0.49985689353337454
random seed: 355
generation     mean_Loc2           mean_Loc3           mean_Loc1           f_prod_sexually     sexual_offspring    f_prod_parth        parth_offspring     
147            0.02712             0.00315             0.50000             1127.00000          11270.00000         390.00000           110.00000           
148            0.02663             0.00358             0.50000             1120.00000          11200.00000         380.00000           120.00000           
149            0.02493             0.00402             0.50000             1122.00000          11220.00000         346.00000           100.00000           
150            0.02804             0.00280             0.50000             1103.00000          11030.00000         363.00000           30.00000            
151            0.02465             0.00217             0.50000             1147.00000          11470.00000         370.00000           80.00000            
152            0.02614             0.00290             0.50000             1140.00000          11400.00000         377.00000           70.00000            
153            0.02966             0.00162             0.50000             1123.00000          11230.00000         391.00000           100.00000           
154            0.03077             0.00192             0.50000             1109.00000          11090.00000         435.00000           140.00000           
155            0.02969             0.00170             0.50000             1136.00000          11360.00000         377.00000           120.00000           
156            0.02790             0.00197             0.50000             1104.00000          11040.00000         388.00000           200.00000           
157            0.03231             0.00074             0.50000             1117.00000          11170.00000         411.00000           120.00000           
158            0.03439             0.00117             0.50000             1138.00000          11380.00000         364.00000           130.00000           
159            0.03461             0.00145             0.50000             1133.00000          11330.00000         390.00000           120.00000           
160            0.03452             0.00106             0.50000             1110.00000          11100.00000         400.00000           180.00000           
161            0.03367             0.00149             0.50000             1155.00000          11550.00000         342.00000           110.00000           
162            0.03085             0.00181             0.50000             1131.00000          11310.00000         373.00000           120.00000           
163            0.02918             0.00194             0.50000             1141.00000          11410.00000         406.00000           160.00000           
164            0.02680             0.00106             0.50000             1130.00000          11300.00000         362.00000           110.00000           
165            0.02642             0.00117             0.50000             1140.00000          11400.00000         357.00000           70.00000            
166            0.02497             0.00096             0.50000             1084.00000          10840.00000         405.00000           90.00000            
167            0.02493             0.00032             0.50000             1134.00000          11340.00000         393.00000           70.00000            
168            0.02200             0.00031             0.50000             1102.00000          11020.00000         372.00000           60.00000            
169            0.02063             0.00077             0.50000             1134.00000          11340.00000         340.00000           80.00000            
170            0.01505             0.00015             0.50000             1148.00000          11480.00000         376.00000           70.00000            
171            0.01423             0.00023             0.50000             1116.00000          11160.00000         409.00000           60.00000            
172            0.01275             0.00023             0.50000             1129.00000          11290.00000         377.00000           30.00000            
173            0.01270             0.00023             0.50000             1140.00000          11400.00000         403.00000           60.00000            
174            0.01084             0.00000             0.50000             1120.00000          11200.00000         380.00000           30.00000            
175            0.01137             0.00000             0.50000             1142.00000          11420.00000         437.00000           20.00000            
176            0.01024             0.00001             0.50000             1155.00000          11550.00000         373.00000           30.00000            
177            0.01235             0.00001             0.50000             1120.00000          11200.00000         341.00000           10.00000            
178            0.01083             0.00002             0.50000             1117.00000          11170.00000         372.00000           40.00000            
179            0.00811             0.00033             0.50000             1120.00000          11200.00000         406.00000           70.00000            
